Dwelling_ID,LGA_Name,Dwelling_Count
273,Scenic Rim,18468
274,Somerset,11020
275,South Burnett,16096
276,Southern Downs,17447
277,Sunshine Coast,149005
278,Tablelands,13184
279,Toowoomba,74054
280,Torres,1349
281,Torres Strait Island,1357
282,Townsville,83412
283,Weipa,1839
284,Western Downs,16165
285,Whitsunday,18043
286,Winton,872
287,Woorabinda,316
288,Wujal Wujal,93
289,Yarrabah,524
290,Migratory - Offshore - Shipping (Qld),98
291,Adelaide,14766
292,Adelaide Hills,16270
293,Adelaide Plains,4006
294,Alexandrina,16760
295,Anangu Pitjantjatjara Yunkunytjatjara,778
296,Barossa,11044
297,Barunga West,1928
298,Berri Barmera,5257
299,Burnside,19630
300,Campbelltown (SA),23247
301,Ceduna,1909
302,Charles Sturt,54847
303,Clare and Gilbert Valleys,4678
304,Cleve,975
305,Coober Pedy,1481
306,Copper Coast,9242
307,Elliston,849
308,Flinders Ranges,1084
309,Franklin Harbour,876
310,Gawler,11126
311,Goyder,2371
312,Grant,3745
313,Holdfast Bay,18707
314,Kangaroo Island,3350
315,Karoonda East Murray,610
316,Kimba,616
317,Kingston (SA),1733
318,Light,6046
319,Lower Eyre Peninsula,3028
320,Loxton Waikerie,5787
321,Maralinga Tjarutja,41
322,Marion,41654
323,Mid Murray,7413
324,Mitcham,27169
325,Mount Barker,16054
326,Mount Gambier,12789
327,Mount Remarkable,1866
328,Murray Bridge,10164
329,Naracoorte Lucindale,4076
330,Northern Areas,2424
331,Norwood Payneham and St Peters,18126
332,Onkaparinga,75493
333,Orroroo Carrieton,541
334,Peterborough,1073
335,Playford,39505
336,Port Adelaide Enfield,56716
337,Port Augusta,7015
338,Port Lincoln,6970
339,Port Pirie,8589
340,Prospect,9474
341,Renmark Paringa,4669
342,Robe,1669
343,Roxby Downs,1781
344,Salisbury,57117
345,Southern Mallee,1077
346,Streaky Bay,1393
347,Tatiara,3194
348,Tea Tree Gully,41034
349,Coorong,3106
350,Tumby Bay,1681
351,Unley,17360
352,Victor Harbor,9764
353,Wakefield,3348
354,Walkerville,3663
355,Wattle Range,6114
356,West Torrens,27977
357,Whyalla,11247
358,Wudinna,616
359,Yankalilla,4403
360,Yorke Peninsula,10310
361,Unincorporated SA,2910
362,Migratory - Offshore - Shipping (SA),11
363,Albany,18033
364,Armadale,36306
365,Ashburton,3727
366,Augusta Margaret River,8918
367,Bassendean,7187
368,Bayswater,32165
369,Belmont,20355
370,Beverley,971
371,Boddington,839
372,Boyup Brook,927
373,Bridgetown-Greenbushes,2688
374,Brookton,482
375,Broome,9419
376,Broomehill-Tambellup,577
377,Bruce Rock,425
378,Bunbury,15960
379,Busselton,21315
380,Cambridge,11522
381,Canning,37259
382,Capel,7110
383,Carnamah,371
384,Carnarvon,3763
385,Chapman Valley,694
386,Chittering,2410
387,Christmas Island,623
388,Claremont,5251
389,Cockburn,48428
390,Cocos Islands,204
391,Collie,4121
392,Coolgardie,1798
393,Coorow,947
394,Corrigin,508
395,Cottesloe,3612
396,Cranbrook,612
397,Cuballing,488
398,Cue,204
399,Cunderdin,659
400,Dalwallinu,611
401,Dandaragan,2805
402,Dardanup,6053
403,Denmark,3670
404,Derby-West Kimberley,3604
405,Donnybrook-Balingup,2821
406,Dowerin,422
407,Dumbleyung,335
408,Dundas,632
409,East Fremantle,3327
410,East Pilbara,3625
411,Esperance,6844
412,Exmouth,2662
413,Fremantle,15751
414,Gingin,4107
415,Gnowangerup,671
416,Goomalling,527
417,Gosnells,47117
418,Greater Geraldton,18018
419,Halls Creek,1674
420,Harvey,11874
421,Irwin,2163
422,Jerramungup,913
423,Joondalup,62177
424,Kalamunda,23347
425,Kalgoorlie-Boulder,13248
426,Karratha,10056
427,Katanning,1843
428,Kellerberrin,621
429,Kent,266
430,Kojonup,1037
431,Kondinin,471
432,Koorda,246
433,Kulin,396
434,Kwinana,17628
435,Lake Grace,751
436,Laverton,396
437,Leonora,839
438,Mandurah,44140
439,Manjimup,5035
440,Meekatharra,608
441,Melville,42920
442,Menzies,237
443,Merredin,1636
444,Mingenew,274
445,Moora,1156
446,Morawa,320
447,Mosman Park,4122
448,Mount Magnet,410
449,Mount Marshall,315
450,Mukinbudin,328
451,Mundaring,14962
452,Murchison,81
453,Murray,8192
454,Nannup,1014
455,Narembeen,402
456,Narrogin,2409
457,Nedlands,8407
458,Ngaanyatjarraku,607
459,Northam,5237
460,Northampton,2382
461,Nungarin,135
462,Peppermint Grove,615
463,Perenjori,254
464,Perth,17636
465,Pingelly,553
466,Plantagenet,2676
467,Port Hedland,7942
468,Quairading,499
469,Ravensthorpe,1405
470,Rockingham,54910
471,Sandstone,94
472,Serpentine-Jarrahdale,11234
473,Shark Bay,1295
474,South Perth,20882
475,Stirling,102177
476,Subiaco,8829
477,Swan,58928
478,Tammin,238
479,Three Springs,319
480,Toodyay,2382
481,Trayning,253
482,Upper Gascoyne,159
483,Victoria Park,18019
484,Victoria Plains,411
485,Vincent,18208
486,Wagin,888
487,Wandering,260
488,Wanneroo,78061
489,Waroona,2224
490,West Arthur,376
491,Westonia,147
492,Wickepin,335
493,Williams,507
494,Wiluna,273
495,Wongan-Ballidu,685
496,Woodanilling,221
497,Wyalkatchem,358
498,Wyndham-East Kimberley,4366
499,Yalgoo,139
500,Yilgarn,715
501,York,1883
502,Migratory - Offshore - Shipping (WA),170
503,Break O'Day,4850
504,Brighton,7530
505,Burnie,9274
506,Central Coast (Tas.),10434
507,Central Highlands (Tas.),2752
508,Circular Head,4064
509,Clarence,25894
510,Derwent Valley,4749
511,Devonport,12071
512,Dorset,3948
513,Flinders (Tas.),689
514,George Town,3685
515,Glamorgan-Spring Bay,4752
516,Glenorchy,21879
517,Hobart,24864
518,Huon Valley,8767
519,Kentish,2915
520,King Island,897
521,Kingborough,17301
522,Latrobe (Tas.),5816
523,Launceston,31369
524,Meander Valley,9276
525,Northern Midlands,6444
526,Sorell,8134
527,Southern Midlands,2978
528,Tasman,2644
529,Waratah-Wynyard,6909
530,West Coast,3123
531,West Tamar,11308
532,Migratory - Offshore - Shipping (Tas.),16
533,Alice Springs,11681
534,Barkly,2932
535,Belyuen,42
536,Central Desert,1272
537,Coomalie,1065
538,Darwin,34806
539,Darwin Waterfront Precinct,258
540,East Arnhem,1968
541,Katherine,4436
542,Litchfield,8883
543,MacDonnell,2243
544,Palmerston,14542
545,Roper Gulf,2923
546,Tiwi Islands,798
547,Victoria Daly,1232
548,Wagait,293
549,West Arnhem,2225
550,West Daly,709
551,Unincorporated NT,4175
552,Migratory - Offshore - Shipping (NT),74
553,Unincorporated ACT,187156
554,Migratory - Offshore - Shipping (ACT),0
555,Unincorp. Other Territories,1376
556,Migratory - Offshore - Shipping (OT),0
557,Total,10875248
