LGA_Name,Population_2021,Dwelling_Count_2021
Logan,350673,125977
Longreach,3691,2169
Mackay,123148,52308
McKinlay,838,497
Mapoon,442,151
Maranoa,12957,6510
Mareeba,23171,10199
Moreton Bay,484353,188327
Mornington,1060,373
Mount Isa,19217,9053
Murweh,4009,2269
Napranum,906,265
Noosa,56874,28715
North Burnett,10142,5494
Northern Peninsula Area,2885,1100
Palm Island,2180,562
Paroo,1707,1173
Pormpuraaw,632,253
Quilpie,702,507
Redland,161709,65216
Richmond,769,438
Rockhampton,82882,35813
Scenic Rim,43592,18468
Somerset,25388,11020
South Burnett,33323,16096
Southern Downs,36637,17447
Sunshine Coast,346634,149005
Tablelands,26488,13184
Toowoomba,175255,74054
Torres,3532,1349
Torres Strait Island,4294,1357
Townsville,195457,83412
Weipa,4177,1839
Western Downs,34351,16165
Whitsunday,37642,18043
Winton,1133,872
Woorabinda,1040,316
Wujal Wujal,284,93
Yarrabah,2597,524
Adelaide,25522,14766
Adelaide Hills,41237,16270
Adelaide Plains,9975,4006
Alexandrina,29257,16760
Anangu Pitjantjatjara Yunkunytjatjara,,778
Barossa,25565,11044
Barunga West,2675,1928
Berri Barmera,10741,5257
Burnside,46425,19630
Ceduna,3651,1909
Charles Sturt,123105,54847
Clare and Gilbert Valleys,9363,4678
Cleve,1775,975
Coober Pedy,1622,1481
Copper Coast,15338,9242
Elliston,1038,849
Flinders Ranges,1686,1084
Franklin Harbour,1322,876
Gawler,25300,11126
Goyder,4138,2371
Grant,8862,3745
Holdfast Bay,37857,18707
Kangaroo Island,4999,3350
Karoonda East Murray,1024,610
Kimba,1053,616
Kingston (SA),2375,1733
Light,16083,6046
Lower Eyre Peninsula,6058,3028
Loxton Waikerie,11921,5787
Maralinga Tjarutja,102,41
Marion,95610,41654
Mid Murray,9355,7413
Mitcham,68162,27169
Mount Barker,39632,16054
Mount Gambier,27637,12789
Mount Remarkable,2920,1866
Murray Bridge,22339,10164
Naracoorte Lucindale,8892,4076
Northern Areas,4659,2424
Norwood Payneham and St Peters,37823,18126
Onkaparinga,176595,75493
Orroroo Carrieton,891,541
Peterborough,1668,1073
Playford,100556,39505
Port Adelaide Enfield,134131,56716
Port Augusta,14448,7015
Port Lincoln,14879,6970
Port Pirie,17747,8589
Prospect,22487,9474
Renmark Paringa,10007,4669
Robe,1568,1669
Roxby Downs,4109,1781
Salisbury,147521,57117
Southern Mallee,2026,1077
Streaky Bay,2241,1393
Tatiara,7070,3194
Tea Tree Gully,102044,41034
Coorong,5599,3106
Tumby Bay,2875,1681
Unley,39061,17360
Victor Harbor,16429,9764
Wakefield,6925,3348
Walkerville,8086,3663
Wattle Range,12127,6114
West Torrens,62425,27977
Whyalla,21954,11247
Wudinna,1163,616
Yankalilla,5931,4403
Yorke Peninsula,11830,10310
Unincorporated SA,3100,2910
Albany,40105,18033
Armadale,97644,36306
Ashburton,7781,3727
Augusta Margaret River,17303,8918
Bassendean,16500,7187
Bayswater,71774,32165
Belmont,43868,20355
Beverley,1735,971
Boddington,1760,839
Boyup Brook,1874,927
Bridgetown-Greenbushes,5376,2688
Brookton,961,482
Broome,18204,9419
Broomehill-Tambellup,1089,577
Bruce Rock,1016,425
Bunbury,34137,15960
Busselton,42009,21315
Cambridge,29822,11522
Canning,99306,37259
Capel,18776,7110
Carnamah,573,371
Carnarvon,5520,3763
Chapman Valley,1613,694
Chittering,6099,2410
Christmas Island,1717,623
Claremont,11643,5251
Cockburn,122212,48428
Cocos Islands,603,204
Collie,9086,4121
Coolgardie,3638,1798
Coorow,1091,947
Corrigin,1028,508
Cottesloe,8245,3612
Cranbrook,1134,612
Cuballing,927,488
Cue,228,204
Cunderdin,1341,659
Dalwallinu,1436,611
Dandaragan,3473,2805
Dardanup,15197,6053
Denmark,6468,3670
Derby-West Kimberley,8414,3604
Donnybrook-Balingup,6312,2821
Dowerin,733,422
Dumbleyung,698,335
Dundas,699,632
East Fremantle,8064,3327
East Pilbara,10378,3625
Esperance,14396,6844
Exmouth,3202,2662
Fremantle,33112,15751
Gingin,5751,4107
Gnowangerup,1260,671
Goomalling,983,527
Gosnells,131366,47117
Greater Geraldton,41182,18018
Halls Creek,4038,1674
Harvey,29625,11874
Irwin,3769,2163
Jerramungup,1196,913
Joondalup,165050,62177
Kalamunda,60804,23347
Kalgoorlie-Boulder,30670,13248
Karratha,23412,10056
Katanning,4227,1843
Kellerberrin,1177,621
Kent,506,266
Kojonup,1963,1037
Kondinin,872,471
Koorda,373,246
Kulin,789,396
Kwinana,47660,17628
Lake Grace,1299,751
Laverton,1432,396
Leonora,1716,839
Mandurah,93412,44140
Manjimup,9351,5035
Meekatharra,1287,608
Melville,106823,42920
Menzies,569,237
Merredin,3221,1636
Mingenew,423,274
Moora,2382,1156
Morawa,669,320
Mosman Park,9478,4122
Mount Magnet,699,410
Mount Marshall,467,315
Mukinbudin,593,328
Mundaring,40539,14962
Murchison,108,81
Murray,18639,8192
Nannup,1575,1014
Narembeen,820,402
Narrogin,4937,2409
Nedlands,22924,8407
Ngaanyatjarraku,1476,607
Northam,11804,5237
Northampton,3332,2382
Nungarin,263,135
Peppermint Grove,1638,615
Perenjori,652,254
Perth,29653,17636
Pingelly,1072,553
Plantagenet,5534,2676
Port Hedland,16666,7942
Quairading,981,499
Ravensthorpe,2157,1405
Rockingham,140584,54910
Sandstone,117,94
Serpentine-Jarrahdale,33349,11234
Shark Bay,1069,1295
South Perth,44952,20882
Stirling,234322,102177
Subiaco,17902,8829
Swan,158689,58928
Tammin,401,238
Three Springs,586,319
Toodyay,4709,2382
Trayning,307,253
Upper Gascoyne,180,159
Victoria Park,38296,18019
Victoria Plains,832,411
Vincent,37833,18208
Wagin,1802,888
Wandering,551,260
Wanneroo,216422,78061
Waroona,4355,2224
West Arthur,795,376
Westonia,255,147
Wickepin,712,335
Williams,1050,507
Wiluna,570,273
Wongan-Ballidu,1336,685
Woodanilling,469,221
Wyalkatchem,484,358
Wyndham-East Kimberley,8050,4366
Yalgoo,364,139
Yilgarn,1205,715
York,3553,1883
Break O'Day,,4850
Brighton,19261,7530
Burnie,20408,9274
Central Coast (Tas.),23258,10434
Central Highlands (Tas.),2579,2752
Circular Head,8325,4064
Clarence,62336,25894
Derwent Valley,11106,4749
Devonport,26896,12071
Dorset,6983,3948
Flinders (Tas.),938,689
George Town,7206,3685
Glamorgan-Spring Bay,5113,4752
Glenorchy,51159,21879
Hobart,55947,24864
Huon Valley,18797,8767
Kentish,6775,2915
King Island,1652,897
