Person_ID,Age,Age_Group,Remoteness
150,51,40_to_64,Major Cities of Australia
151,37,26_to_39,Inner Regional Australia
152,16,0_to_16,Unknown
153,66,65_to_74,Inner Regional Australia
154,31,26_to_39,Outer Regional Australia
155,23,17_to_25,Unknown
156,56,40_to_64,Inner Regional Australia
157,82,75_or_older,Inner Regional Australia
158,43,40_to_64,Remote Australia
159,56,40_to_64,Major Cities of Australia
160,75,75_or_older,Inner Regional Australia
161,32,26_to_39,Major Cities of Australia
162,40,40_to_64,Very Remote Australia
163,96,75_or_older,Unknown
164,20,17_to_25,Unknown
165,40,40_to_64,Outer Regional Australia
166,13,0_to_16,Outer Regional Australia
167,12,0_to_16,Unknown
168,37,26_to_39,Major Cities of Australia
169,30,26_to_39,Unknown
170,81,75_or_older,Inner Regional Australia
171,80,75_or_older,Inner Regional Australia
172,21,17_to_25,Inner Regional Australia
173,39,26_to_39,Outer Regional Australia
174,27,26_to_39,Major Cities of Australia
175,54,40_to_64,Outer Regional Australia
176,17,17_to_25,Outer Regional Australia
177,19,17_to_25,Major Cities of Australia
178,55,40_to_64,Major Cities of Australia
179,44,40_to_64,Outer Regional Australia
180,91,75_or_older,Major Cities of Australia
181,11,0_to_16,Inner Regional Australia
182,62,40_to_64,Inner Regional Australia
183,43,40_to_64,Major Cities of Australia
184,73,65_to_74,Major Cities of Australia
185,46,40_to_64,Remote Australia
186,59,40_to_64,Unknown
187,30,26_to_39,Remote Australia
188,34,26_to_39,Unknown
189,73,65_to_74,Inner Regional Australia
190,73,65_to_74,Remote Australia
191,74,65_to_74,Major Cities of Australia
192,83,75_or_older,Unknown
193,27,26_to_39,Inner Regional Australia
194,14,0_to_16,Very Remote Australia
195,53,40_to_64,Outer Regional Australia
196,41,40_to_64,Inner Regional Australia
197,90,75_or_older,Unknown
198,48,40_to_64,Inner Regional Australia
199,34,26_to_39,Outer Regional Australia
200,68,65_to_74,Major Cities of Australia
201,5,0_to_16,Outer Regional Australia
202,15,0_to_16,Outer Regional Australia
203,78,75_or_older,Unknown
204,70,65_to_74,Unknown
205,20,17_to_25,Outer Regional Australia
206,37,26_to_39,Unknown
207,2,0_to_16,Major Cities of Australia
208,44,40_to_64,Major Cities of Australia
209,77,75_or_older,Major Cities of Australia
210,48,40_to_64,Unknown
211,33,26_to_39,Major Cities of Australia
212,49,40_to_64,Major Cities of Australia
213,34,26_to_39,Major Cities of Australia
214,11,0_to_16,Major Cities of Australia
215,39,26_to_39,Inner Regional Australia
216,14,0_to_16,Unknown
217,41,40_to_64,Outer Regional Australia
218,49,40_to_64,Unknown
219,78,75_or_older,Major Cities of Australia
220,9,0_to_16,Major Cities of Australia
221,30,26_to_39,Outer Regional Australia
222,52,40_to_64,Inner Regional Australia
223,1,0_to_16,Major Cities of Australia
224,17,17_to_25,Unknown
225,93,75_or_older,Major Cities of Australia
226,87,75_or_older,Major Cities of Australia
227,94,75_or_older,Unknown
228,31,26_to_39,Major Cities of Australia
229,23,17_to_25,Major Cities of Australia
230,72,65_to_74,Inner Regional Australia
231,81,75_or_older,Major Cities of Australia
232,83,75_or_older,Outer Regional Australia
233,60,40_to_64,Major Cities of Australia
234,79,75_or_older,Inner Regional Australia
