Population_ID,LGA_Name,Population
278,Torres,3532
279,Torres Strait Island,4294
280,Townsville,195457
281,Weipa,4177
282,Western Downs,34351
283,Whitsunday,37642
284,Winton,1133
285,Woorabinda,1040
286,Wujal Wujal,284
287,Yarrabah,2597
288,Adelaide,25522
289,Adelaide Hills,41237
290,Adelaide Plains,9975
291,Alexandrina,29257
292,Anangu Pitjantjatjara Yankunytjatjara,2554
293,Barossa,25565
294,Barunga West,2675
295,Berri Barmera,10741
296,Burnside,46425
297,Campbelltown (SA),55456
298,Ceduna,3651
299,Charles Sturt,123105
300,Clare and Gilbert Valleys,9363
301,Cleve,1775
302,Coober Pedy,1622
303,Copper Coast,15338
304,Elliston,1038
305,Flinders Ranges,1686
306,Franklin Harbour,1322
307,Gawler,25300
308,Goyder,4138
309,Grant,8862
310,Holdfast Bay,37857
311,Kangaroo Island,4999
312,Karoonda East Murray,1024
313,Kimba,1053
314,Kingston (SA),2375
315,Light,16083
316,Lower Eyre Peninsula,6058
317,Loxton Waikerie,11921
318,Maralinga Tjarutja,102
319,Marion,95610
320,Mid Murray,9355
321,Mitcham,68162
322,Mount Barker,39632
323,Mount Gambier,27637
324,Mount Remarkable,2920
325,Murray Bridge,22339
326,Naracoorte Lucindale,8892
327,Northern Areas,4659
328,Norwood Payneham and St Peters,37823
329,Onkaparinga,176595
330,Orroroo Carrieton,891
331,Peterborough,1668
332,Playford,100556
333,Port Adelaide Enfield,134131
334,Port Augusta,14448
335,Port Lincoln,14879
336,Port Pirie,17747
337,Prospect,22487
338,Renmark Paringa,10007
339,Robe,1568
340,Roxby Downs,4109
341,Salisbury,147521
342,Southern Mallee,2026
343,Streaky Bay,2241
344,Tatiara,7070
345,Tea Tree Gully,102044
346,Coorong,5599
347,Tumby Bay,2875
348,Unley,39061
349,Victor Harbor,16429
350,Wakefield,6925
351,Walkerville,8086
352,Wattle Range,12127
353,West Torrens,62425
354,Whyalla,21954
355,Wudinna,1163
356,Yankalilla,5931
357,Yorke Peninsula,11830
358,Unincorporated SA,3100
359,Albany,40105
360,Armadale,97644
361,Ashburton,7781
362,Augusta Margaret River,17303
363,Bassendean,16500
364,Bayswater,71774
365,Belmont,43868
366,Beverley,1735
367,Boddington,1760
368,Boyup Brook,1874
369,Bridgetown-Greenbushes,5376
370,Brookton,961
371,Broome,18204
372,Broomehill-Tambellup,1089
373,Bruce Rock,1016
374,Bunbury,34137
375,Busselton,42009
376,Cambridge,29822
377,Canning,99306
378,Capel,18776
379,Carnamah,573
380,Carnarvon,5520
381,Chapman Valley,1613
382,Chittering,6099
383,Christmas Island,1717
384,Claremont,11643
385,Cockburn,122212
386,Cocos Islands,603
387,Collie,9086
388,Coolgardie,3638
389,Coorow,1091
390,Corrigin,1028
391,Cottesloe,8245
392,Cranbrook,1134
393,Cuballing,927
394,Cue,228
395,Cunderdin,1341
396,Dalwallinu,1436
397,Dandaragan,3473
398,Dardanup,15197
399,Denmark,6468
400,Derby-West Kimberley,8414
401,Donnybrook-Balingup,6312
402,Dowerin,733
403,Dumbleyung,698
404,Dundas,699
405,East Fremantle,8064
406,East Pilbara,10378
407,Esperance,14396
408,Exmouth,3202
409,Fremantle,33112
410,Gingin,5751
411,Gnowangerup,1260
412,Goomalling,983
413,Gosnells,131366
414,Greater Geraldton,41182
415,Halls Creek,4038
416,Harvey,29625
417,Irwin,3769
418,Jerramungup,1196
419,Joondalup,165050
420,Kalamunda,60804
421,Kalgoorlie-Boulder,30670
422,Karratha,23412
423,Katanning,4227
424,Kellerberrin,1177
425,Kent,506
426,Kojonup,1963
427,Kondinin,872
428,Koorda,373
429,Kulin,789
430,Kwinana,47660
431,Lake Grace,1299
432,Laverton,1432
433,Leonora,1716
434,Mandurah,93412
435,Manjimup,9351
436,Meekatharra,1287
437,Melville,106823
438,Menzies,569
439,Merredin,3221
440,Mingenew,423
441,Moora,2382
442,Morawa,669
443,Mosman Park,9478
444,Mount Magnet,699
445,Mount Marshall,467
446,Mukinbudin,593
447,Mundaring,40539
448,Murchison,108
449,Murray,18639
450,Nannup,1575
451,Narembeen,820
452,Narrogin,4937
453,Nedlands,22924
454,Ngaanyatjarraku,1476
455,Northam,11804
456,Northampton,3332
457,Nungarin,263
458,Peppermint Grove,1638
459,Perenjori,652
