Crash_ID,Time_ID,Speed_ID,State_ID,Remoteness_ID,Road_type_ID,Crash_type_ID,Vehicle_ID,Holiday_ID,Month,Year,Dayweek,LGA_name,Number Fatalities
20241274,15,1,1,3,3,2,1,2,12,2024,Thursday,Blacktown,1
20242073,16,4,3,0,4,2,2,2,12,2024,Thursday,Unknown,1
20241240,17,6,1,1,3,1,1,2,12,2024,Thursday,Dubbo Regional,1
20242035,22,4,3,0,4,1,2,2,12,2024,Thursday,Unknown,1
20243176,4,6,4,2,6,1,1,1,12,2024,Tuesday,Cairns,1
20245006,6,6,6,0,4,1,1,2,12,2024,Tuesday,Unknown,1
20241181,8,8,1,2,3,1,3,1,12,2024,Tuesday,Balranald,1
20243110,11,6,4,4,2,1,1,1,12,2024,Tuesday,Lockhart River,1
20242037,13,1,3,1,5,1,2,2,12,2024,Tuesday,Golden Plains,1
20244044,13,1,5,1,5,1,1,2,12,2024,Tuesday,Light,1
20243090,14,6,4,3,4,1,1,2,12,2024,Tuesday,Ipswich,1
20243147,15,2,4,2,3,1,1,2,12,2024,Tuesday,Cassowary Coast,1
20245083,17,8,6,0,4,1,1,2,12,2024,Tuesday,Unknown,1
20244019,18,1,5,5,6,1,1,1,12,2024,Tuesday,Tumby Bay,1
20241194,21,2,1,3,1,2,7,2,12,2024,Tuesday,Liverpool,1
20241139,22,3,1,3,2,2,8,2,12,2024,Tuesday,Cumberland,1
20241197,23,1,1,1,3,2,3,2,12,2024,Tuesday,Muswellbrook,1
20243220,0,1,4,2,6,1,1,1,12,2024,Wednesday,Cassowary Coast,1
20243267,4,5,4,1,3,2,1,2,12,2024,Wednesday,Moreton Bay,1
20241057,12,8,1,1,3,1,1,2,12,2024,Wednesday,Ballina,1
20245164,12,8,6,0,4,1,1,2,12,2024,Wednesday,Unknown,1
20243174,16,2,4,1,3,2,1,1,12,2024,Wednesday,Logan,1
20242148,16,1,3,0,4,2,2,2,12,2024,Wednesday,Unknown,1
20241166,17,1,1,1,5,1,1,1,12,2024,Wednesday,Kyogle,1
20247011,19,4,8,0,4,1,1,1,12,2024,Wednesday,Unknown,1
20243213,2,1,4,1,3,2,3,2,11,2024,Friday,Bundaberg,1
20241096,4,1,1,2,3,1,1,2,11,2024,Friday,Tenterfield,1
20242089,7,6,3,3,1,2,1,2,11,2024,Friday,Melbourne,1
20245012,7,6,6,0,4,1,1,2,11,2024,Friday,Unknown,1
20245070,9,1,6,0,4,1,5,2,11,2024,Friday,Unknown,1
20243073,10,7,4,3,5,1,1,2,11,2024,Friday,Brisbane,1
20242264,10,4,3,0,4,2,1,2,11,2024,Friday,Unknown,1
20241027,10,1,1,2,3,1,1,2,11,2024,Friday,Snowy Valleys,1
20242018,10,4,3,0,4,2,1,2,11,2024,Friday,Unknown,1
20241163,12,1,1,2,5,1,1,2,11,2024,Friday,Tamworth Regional,1
20243143,13,1,4,2,2,1,1,2,11,2024,Friday,Whitsunday,1
20241222,14,1,1,3,3,2,1,2,11,2024,Friday,Fairfield,1
20241218,17,8,1,1,3,1,1,2,11,2024,Friday,Yass Valley,1
20243249,18,1,4,5,6,1,1,2,11,2024,Friday,Central Highlands (Qld),1
20243098,20,2,4,1,5,2,1,2,11,2024,Friday,Bundaberg,1
20242193,21,4,3,0,4,1,1,2,11,2024,Friday,Unknown,1
20241306,22,6,1,3,6,1,1,2,11,2024,Friday,The Hills,1
20247002,3,4,8,0,4,2,1,2,11,2024,Monday,Unknown,1
20243037,6,3,4,2,2,1,1,2,11,2024,Monday,Cairns,1
20244083,6,6,5,3,2,1,1,2,11,2024,Monday,Salisbury,1
20245145,10,8,6,0,4,1,1,2,11,2024,Monday,Unknown,1
20241196,11,6,1,1,5,2,1,2,11,2024,Monday,Port Stephens,1
20244028,12,1,5,1,1,2,1,2,11,2024,Monday,Yankalilla,2
20243038,14,1,4,1,2,1,1,2,11,2024,Monday,Southern Downs,1
20242023,14,7,3,1,5,2,3,2,11,2024,Monday,Macedon Ranges,1
20242230,15,1,3,1,1,2,1,2,11,2024,Monday,Moyne,1
20242127,15,2,3,3,6,2,1,2,11,2024,Monday,Cardinia,1
20242120,15,1,3,2,1,1,1,2,11,2024,Monday,East Gippsland,1
20241106,15,6,1,1,5,2,1,2,11,2024,Monday,Ballina,1
