fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
46,20243209,Motorcycle rider,Male,35,26_to_39
47,20244001,Motorcycle rider,Male,55,40_to_64
48,20243243,Motorcycle rider,Male,63,40_to_64
49,20245119,Motorcycle rider,Male,64,40_to_64
50,20246016,Passenger,Female,66,65_to_74
51,20241119,Pedal cyclist,Male,61,40_to_64
52,20241119,Driver,Female,30,26_to_39
53,20245133,Motorcycle rider,Male,45,40_to_64
54,20245069,Motorcycle rider,Male,60,40_to_64
55,20241169,Driver,Male,34,26_to_39
56,20245161,Motorcycle rider,Male,27,26_to_39
57,20241291,Driver,Male,26,26_to_39
58,20243036,Motorcycle rider,Male,46,40_to_64
59,20244026,Pedestrian,Female,50,40_to_64
60,20241077,Pedestrian,Female,85,75_or_older
61,20241028,Driver,Female,92,75_or_older
62,20241022,Driver,Male,76,75_or_older
63,20243015,Motorcycle rider,Male,60,40_to_64
64,20245068,Pedestrian,Female,89,75_or_older
65,20242229,Motorcycle rider,Male,21,17_to_25
66,20244023,Driver,Female,74,65_to_74
67,20241098,Motorcycle rider,Male,26,26_to_39
68,20243114,Driver,Female,60,40_to_64
69,20243114,Passenger,Female,59,40_to_64
70,20245092,Motorcycle rider,Male,77,75_or_older
71,20241040,Motorcycle rider,Male,45,40_to_64
72,20242188,Driver,Female,63,40_to_64
73,20241174,Driver,Female,90,75_or_older
74,20241088,Driver,Male,32,26_to_39
75,20245031,Passenger,Male,31,26_to_39
76,20242136,Driver,Male,24,17_to_25
77,20241255,Driver,Male,49,40_to_64
78,20242227,Pedestrian,Female,27,26_to_39
