Crash_ID,Speed_ID
20241115,16
20241125,14
20246013,10
20241002,16
20242261,1
20243185,16
20244016,16
20245001,15
20243168,11
20246003,10
20246001,16
20244081,10
20241087,12
20241054,17
20244042,16
20242183,1
20242171,1
20243246,14
20248007,1
20241101,11
20241216,11
20241300,16
20243007,16
20241278,16
20245005,17
20241149,9
20247029,1
20242156,1
20245143,11
20245039,17
20242087,16
20241068,17
20243273,16
20242141,1
20245045,14
20245093,11
20244020,16
20244055,17
20242095,1
20245100,17
20241094,10
20243209,10
20243160,16
20244001,16
20243243,12
20245119,14
20246016,16
20241119,16
20245133,17
20245069,11
20241169,14
20245161,12
20241291,17
20243036,16
20244026,10
20241077,10
20241028,10
20241022,16
20243015,11
20245068,5
20242229,1
20244023,16
20241098,15
20243114,16
20245092,14
20241040,16
20242188,16
20241174,11
20241088,16
20245031,14
20242136,16
20241255,16
20242227,1
20241053,16
20243046,11
20245107,12
20241080,11
20242006,1
20245130,17
20243044,16
20246009,11
20241274,16
20242073,1
20241240,11
20242035,1
20243176,11
20245006,11
20241181,17
20243110,11
20242037,16
20244044,16
20243090,11
20243147,14
20245083,17
20244019,16
20241194,14
20241139,10
20241197,16
20243220,16
20243267,15
20241057,17
20245164,17
20243174,14
20242148,16
20241166,16
20247011,1
20243213,16
20241096,16
20242089,11
20245012,11
20245070,16
20243073,12
20242264,1
20241027,16
20242018,1
20241163,16
20243143,16
20241222,16
20241218,17
20243249,16
20243098,14
20242193,1
20241306,11
20247002,1
20243037,10
20244083,11
20245145,17
20241196,11
20244028,16
20243038,16
20242023,12
20242230,16
20242127,14
20242120,16
20241106,11
20241230,12
20241055,10
20241267,10
20242260,14
20242158,1
20242057,16
20242163,1
20245098,14
20243153,16
20242161,11
20243172,3
20241236,14
20245162,14
20242213,1
20242005,1
20241188,16
20245056,10
20245008,11
20242114,1
20243191,16
20241256,16
20247006,1
20242207,1
20242019,16
20243008,14
20243041,16
20243001,14
20244021,11
20243113,11
20242050,1
20242004,1
20241107,16
20243022,11
20248002,14
20242088,14
20241173,17
20241004,10
20246004,17
20241201,10
20242124,1
20241029,14
20243005,11
20241261,15
20244024,14
20245004,17
20245134,17
20241215,16
20243186,14
20248006,1
20243208,9
20241134,14
20243040,11
20241263,10
20241302,17
20241147,10
20243096,10
20243248,12
20241150,10
20241247,16
20242051,1
20242174,1
20241234,16
20242110,14
20242052,12
20243247,16
20243144,16
20242013,1
20242008,1
20241235,14
20243087,16
20244061,17
20241009,14
20241072,11
20243129,16
20242219,16
20241219,14
20244010,16
20244040,10
20243171,16
20242075,14
20243079,16
